estacion,fecha,umbral,conteo
5,09-09-2021,NARANJA,2
47,30-03-2022,NARANJA,2
73,24-09-2021,AMARILLO,2
77,17-08-2021,AMARILLO,2
73,23-09-2021,NARANJA,2
70,24-09-2021,NARANJA,2
9,03-04-2022,ROJO,2
45,03-02-2021,NARANJA,2
5,19-08-2021,NARANJA,2
40,22-05-2022,AMARILLO,2
5,18-08-2021,NARANJA,2
75,02-08-2020,ROJO,2
8,21-06-2022,NARANJA,2
9,02-01-2020,AMARILLO,2
45,02-10-2020,ROJO,2
9,02-01-2022,NARANJA,2
40,15-11-2021,NARANJA,2
40,23-05-2022,NARANJA,2
77,13-11-2019,ROJO,2
73,30-03-2022,NARANJA,2
9,02-06-2022,ROJO,2
40,14-11-2021,NARANJA,2
77,12-06-2022,NARANJA,2
5,17-10-2021,NARANJA,2
46,26-01-2022,NARANJA,2
75,03-04-2020,NARANJA,2
5,13-01-2021,NARANJA,2
77,14-08-2020,NARANJA,2
40,24-09-2021,AMARILLO,2
5,08-10-2021,NARANJA,2
5,07-05-2020,NARANJA,2
10,07-05-2020,NARANJA,2
73,14-10-2019,NARANJA,2
39,24-09-2021,ROJO,2
44,25-06-2022,NARANJA,2
7,29-03-2022,NARANJA,2
4,28-03-2022,AMARILLO,2
10,04-01-2020,NARANJA,2
4,27-06-2022,NARANJA,2
78,02-11-2021,AMARILLO,2
10,05-01-2021,ROJO,2
10,05-06-2022,NARANJA,2
10,06-05-2022,NARANJA,2
10,03-01-2022,NARANJA,2
41,02-01-2020,NARANJA,2
5,21-11-2021,NARANJA,2
47,24-07-2020,ROJO,2
7,26-12-2021,NARANJA,2
4,25-02-2020,NARANJA,2
77,02-06-2022,ROJO,2
4,22-10-2019,NARANJA,2
41,04-10-2020,AMARILLO,2
78,05-10-2021,AMARILLO,2
10,03-01-2022,ROJO,2
10,02-04-2020,NARANJA,2
5,05-10-2021,NARANJA,2
39,29-07-2021,NARANJA,2
45,03-09-2020,AMARILLO,2
9,21-08-2020,ROJO,2
46,18-12-2021,NARANJA,2
77,24-02-2022,NARANJA,2
5,20-11-2021,NARANJA,2
46,18-06-2022,NARANJA,2
73,21-06-2021,AMARILLO,2
